Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1695945052.3789415,910,85853,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
1695945053.3789814,911,85854,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
1695945054.3806431,912,85855,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
1695945055.3796048,913,85856,0,GPS1_Frame,42.33826666666667,-71.08555,16.4,328193.89483669866,4689441.137426584,19,T
1695945056.3796008,914,85857,0,GPS1_Frame,42.33826666666667,-71.08555,16.4,328193.89483669866,4689441.137426584,19,T
1695945057.4171612,915,85858,0,GPS1_Frame,42.33826666666667,-71.08555,16.4,328193.89483669866,4689441.137426584,19,T
1695945058.4176714,916,85859,0,GPS1_Frame,42.33826666666667,-71.08555,16.4,328193.89483669866,4689441.137426584,19,T
1695945059.3791978,917,85860,0,GPS1_Frame,42.33826666666667,-71.08555,16.4,328193.89483669866,4689441.137426584,19,T
1695945060.3802094,918,85861,0,GPS1_Frame,42.33826666666667,-71.08555,16.4,328193.89483669866,4689441.137426584,19,T
1695945061.3787823,919,85862,0,GPS1_Frame,42.33826666666667,-71.08555,16.4,328193.89483669866,4689441.137426584,19,T
1695945062.3799522,920,85863,0,GPS1_Frame,42.33826666666667,-71.08555,16.4,328193.89483669866,4689441.137426584,19,T
1695945063.375909,921,85864,0,GPS1_Frame,42.33827,-71.085545,16.2,328194.3158284581,4689441.497465112,19,T
1695945064.3759952,922,85865,0,GPS1_Frame,42.338271666666664,-71.08554166666667,16.0,328194.59497657535,4689441.675800604,19,T
1695945065.3760653,923,85866,0,GPS1_Frame,42.33827333333333,-71.08553833333333,15.9,328194.87412468024,4689441.854136106,19,T
1695945066.3803444,924,85867,0,GPS1_Frame,42.33827333333333,-71.08553833333333,15.9,328194.87412468024,4689441.854136106,19,T
1695945067.3763878,925,85868,0,GPS1_Frame,42.33827333333333,-71.08553833333333,15.9,328194.87412468024,4689441.854136106,19,T
1695945068.37965,926,85869,0,GPS1_Frame,42.33827333333333,-71.08553833333333,15.9,328194.87412468024,4689441.854136106,19,T
1695945069.3788753,927,85870,0,GPS1_Frame,42.33827333333333,-71.08553833333333,15.9,328194.87412468024,4689441.854136106,19,T
1695945070.3793073,928,85871,0,GPS1_Frame,42.33827333333333,-71.08553833333333,15.9,328194.87412468024,4689441.854136106,19,T
1695945071.3788142,929,85872,0,GPS1_Frame,42.33827333333333,-71.08553833333333,15.8,328194.87412468024,4689441.854136106,19,T
1695945072.3788197,930,85873,0,GPS1_Frame,42.33827333333333,-71.08553833333333,15.8,328194.87412468024,4689441.854136106,19,T
1695945073.3785884,931,85874,0,GPS1_Frame,42.33827333333333,-71.08553833333333,15.8,328194.87412468024,4689441.854136106,19,T
1695945074.3797584,932,85875,0,GPS1_Frame,42.33827333333333,-71.08553833333333,15.8,328194.87412468024,4689441.854136106,19,T
1695945075.37961,933,85876,0,GPS1_Frame,42.33827333333333,-71.08553833333333,15.8,328194.87412468024,4689441.854136106,19,T
1695945076.3787644,934,85877,0,GPS1_Frame,42.33827333333333,-71.08553833333333,15.8,328194.87412468024,4689441.854136106,19,T
1695945077.376476,935,85878,0,GPS1_Frame,42.33827333333333,-71.08553833333333,15.8,328194.87412468024,4689441.854136106,19,T
1695945078.4153535,936,85879,0,GPS1_Frame,42.33827333333333,-71.08553666666667,15.6,328195.0114291882,4689441.850768548,19,T
1695945079.4143116,937,85880,0,GPS1_Frame,42.33827333333333,-71.085535,15.4,328195.1487336983,4689441.847400994,19,T
